"","country","year","cpi","dyn_gdp","dyn_gdp_china","dyn_GDP_US","interest_rate_US","oil_yoy","dyn_consum","dyn_fx_rate","diff_priv_credit_gdp","net_lending","public_debt","interest_on_debt","overvaluation","ca_balance","dyn_fix_cap_form","dyn_export_share","diff_unempl","dyn_prod_dol","VIX","GDP_per_cap","developed","crisis_next_year","crisis_next_period","crisis_first_year"
"Albania.Albania.28","Albania",1997,33.1802743753955,-10.8378557356567,9.23076923076909,4.4870264931673,6.3525,-9.69662519331346,-7.51533207010713,42.5210149706495,0.65813004499257,-11.902,72.194,7.5878881901543,-76.1362358332471,-13.047,-3.19313283341249,-40.0931937620577,2.6,-12.6153846153846,24.34,4.21433171942514,0,1,"0",0
"Albania.Albania.29","Albania",1998,20.6428588670596,9.00885253995471,7.83761391880728,4.44991096328404,5.264167,-34.4214815468494,-9.04164965165063,1.14173327476812,-0.1009004390423,-9.926,71.184,12.731793661497,-75.0878512945341,-6.944,21.2728932882025,29.0790233170413,2.8,8.11815336463224,25.379999,4.6229974043245,0,0,"1",0
"Albania.Albania.30","Albania",1999,0.389437653561637,13.5011733754336,7.66748617086637,4.68519960839866,5.636667,38.2686130479186,-11.1666964993616,-8.59222173047137,0.22267853041613,-8.841,68.183,11.3107372805538,-72.5928969967081,-1.946,26.0008957965429,77.486729533969,0.699999999999999,13.4973765152886,24.360001,5.28049474622698,0,1,"0",0
"Albania.Albania.31","Albania",2000,0.0500181363468326,6.66662049881368,8.49150849150837,4.09217644881066,6.029167,53.4148501304938,-8.94816543010292,4.3712744819761,0.783225204005729,-7.772,63.769,9.25214445890636,-72.875124745363,-7.07,53.1232630788806,8.20182215148735,-1.6,5.30846484935437,27.93,5.66853922299903,0,0,"0",0
"Albania.Albania.32","Albania",2001,3.10758827031434,7.94033142454762,8.33991054985566,0.975981833932127,5.0175,-16.5916713904271,-12.0291175131431,-0.156276003718625,1.24686035539733,-6.837,60.613,6.9160081170706,-72.4256570671232,-6.315,34.8203083084746,18.9339183981904,-0.359999999999999,7.84135634271874,23.780001,6.17633193879709,0,0,"0",0
"Albania.Albania.33","Albania",2002,7.7705258343156,4.23137101758229,9.13064594463338,1.78612768745552,4.610833,0.776871746321239,2.88708566373288,-2.32102402809102,0.42982270319966,-6.212,64.097,6.32946939794374,-71.1832331995489,-10.174,5.47019057628213,10.6635810449888,-0.689000000000002,2.47052217855137,28.74,6.4570095216252,0,0,"0",0
"Albania.Albania.34","Albania",2003,0.484002611818484,5.77349056080079,10.0356030262568,2.80677595648093,4.015,12.6483302160957,-7.98430912798422,-13.0507859563465,1.12829196520282,-5.006,60.245,7.30351066478546,-65.8166018057126,-7.695,19.0236183699155,15.8927813310392,-0.750999999999999,5.31506849315069,17.959999,6.85540587720372,0,0,"0",0
"Albania.Albania.35","Albania",2004,2.28001916938097,5.70955659621,10.1112234580387,3.78574284969444,4.274167,29.2802993398191,-1.18012228358435,-15.6595190131791,2.00199305929402,-5.163,57.474,6.70390089431743,-59.3101973454187,-5.849,-0.549082899242415,13.2538290196372,-0.6,5.47606659729449,13.39,7.27716926395228,0,0,"0",0
"Albania.Albania.36","Albania",2005,2.36658195679798,5.72081994678555,11.3957759412304,3.34521606334877,4.29,37.8137412594648,0.84705841062096,-2.83109093779199,5.71416976474301,-3.458,58.203,5.56156899128911,-58.0886218648763,-9.114,7.86587212873693,1.81085280917614,-0.300000000000001,5.62338142804291,12.25,7.73295842991592,0,0,"0",0
"Albania.Albania.37","Albania",2006,2.37072831904277,5.43101273852915,12.7194790206908,2.666625826122,4.791667,15.7502741152586,-5.57559897142119,-1.76917281207822,6.9096308299262,-3.263,56.688,5.05397967823878,-57.5804613114554,-6.111,14.1123006424815,4.46084155048216,-0.299999999999999,5.07880910683012,12.16,8.20453678495625,0,0,"0",0
